100000	100000
100001	100001
100002	100002
100004	100004
100005	100005
100006	100006
100007	100007
100010	100010
100011	100011
100012	100012
100013	100013
100017	100017
100019	100019
100022	100022
100023	100023
100031	100031
100032	100032
100033	100033
100035	100035
100039	100039
100041	100041
100050	100050
100051	100051
100070	100070
100083	100083
100093	100093
100101	100101
100102	100102
100117	100117
100120	100120
100124	100124
100137	100137
100141	100141
100142	100142
100144	100144
100167	100167
100168	100168
100176	100176
100187	100187
100188	100188
100189	100189
100191	100191
100192	100192
100204	100204
100205	100205
100206	100206
100213	100213
100236	100236
100249	100249
100274	100274
100276	100276
100277	100277
100285	100285
100293	100293
100297	100297
100314	100314
100316	100316
100328	100328
100337	100337
100338	100338
100339	100339
100343	100343
100345	100345
100348	100348
100358	100358
100359	100359
100360	100360
100361	100361
100362	100362
100364	100364
100365	100365
100368	100368
100370	100370
100371	100371
100384	100384
100388	100388
100390	100390
100391	100391
100412	100412
100478	100478
100481	100481
100483	100483
100485	100485
100486	100486
100489	100489
100491	100491
100497	100497
100499	100499
100504	100504
100510	100510
100511	100511
100513	100513
100569	100569
100573	100573
100582	100582
100656	100656
100657	100657
100658	100658
100659	100659
100660	100660
100661	100661
100663	100663
100664	100664
100665	100665
100672	100672
100674	100674
100676	100676
100679	100679
100680	100680
100682	100682
100683	100683
100684	100684
100693	100693
100711	100711
100714	100714
100715	100715
100717	100717
100719	100719
100723	100723
100729	100729
100732	100732
100733	100733
100736	100736
100833	100833
100849	100849
100856	100856
100859	100859
100866	100866
100868	100868
100872	100872
100876	100876
100882	100882
100935	100935
101021	101021
101038	101038
101050	101050
101097	101097
101098	101098
101114	101114
101136	101136
101147	101147
101150	101150
101257	101257
101258	101258
101259	101259
101260	101260
101261	101261
101262	101262
101263	101263
101264	101264
101265	101265
101266	101266
101267	101267
101268	101268
101269	101269
101270	101270
101271	101271
101272	101272
101273	101273
101274	101274
101275	101275
101276	101276
101277	101277
101278	101278
101279	101279
101280	101280
101281	101281
101282	101282
101283	101283
101284	101284
101286	101286
101287	101287
101288	101288
101289	101289
101290	101290
101291	101291
101292	101292
101293	101293
101294	101294
101295	101295
101296	101296
101297	101297
101298	101298
101299	101299
101300	101300
101301	101301
101302	101302
101303	101303
101304	101304
101305	101305
101306	101306
101307	101307
101308	101308
101309	101309
101310	101310
101311	101311
101312	101312
101313	101313
101314	101314
101315	101315
101316	101316
101317	101317
101318	101318
101319	101319
101320	101320
101321	101321
101322	101322
101323	101323
101324	101324
101325	101325
101326	101326
101327	101327
101328	101328
101329	101329
101330	101330
101331	101331
101332	101332
101333	101333
101334	101334
101335	101335
101336	101336
101337	101337
101338	101338
101339	101339
101340	101340
101341	101341
101342	101342
101343	101343
101344	101344
101345	101345
101346	101346
101347	101347
101348	101348
101349	101349
101350	101350
101351	101351
101352	101352
101353	101353
101354	101354
101355	101355
101356	101356
101357	101357
101358	101358
101359	101359
101360	101360
101361	101361
101362	101362
101363	101363
101364	101364
101365	101365
101366	101366
101367	101367
101368	101368
101369	101369
101370	101370
101371	101371
101372	101372
101373	101373
101374	101374
101375	101375
101376	101376
101377	101377
101378	101378
101379	101379
101380	101380
101381	101381
101382	101382
101383	101383
101384	101384
101385	101385
101386	101386
101387	101387
101388	101388
101389	101389
101390	101390
101391	101391
101392	101392
101393	101393
101394	101394
101395	101395
101396	101396
101397	101397
101398	101398
101399	101399
101400	101400
101401	101401
101402	101402
101403	101403
101404	101404
101405	101405
101406	101406
101407	101407
101408	101408
101409	101409
101410	101410
101411	101411
101412	101412
101413	101413
101414	101414
101415	101415
101416	101416
101417	101417
101418	101418
101419	101419
101420	101420
101421	101421
101422	101422
101423	101423
101424	101424
101425	101425
101426	101426
101427	101427
101428	101428
101429	101429
101430	101430
101431	101431
101432	101432
101433	101433
101434	101434
101435	101435
101436	101436
101437	101437
101438	101438
101439	101439
101440	101440
101441	101441
101442	101442
101443	101443
101444	101444
101445	101445
101446	101446
101447	101447
101448	101448
101449	101449
101450	101450
101451	101451
101452	101452
101453	101453
101454	101454
101455	101455
101456	101456
101457	101457
101458	101458
101459	101459
101460	101460
101461	101461
101462	101462
101463	101463
101464	101464
101465	101465
101466	101466
101467	101467
101468	101468
101469	101469
101470	101470
101471	101471
101472	101472
101473	101473
101474	101474
101475	101475
101476	101476
101477	101477
101478	101478
101479	101479
101480	101480
101481	101481
101482	101482
101483	101483
101484	101484
101485	101485
101486	101486
101487	101487
101488	101488
101489	101489
101490	101490
101491	101491
101492	101492
101493	101493
101494	101494
101495	101495
101496	101496
101497	101497
101498	101498
101499	101499
101500	101500
101501	101501
101502	101502
101503	101503
101504	101504
101505	101505
101506	101506
101507	101507
101508	101508
101509	101509
101510	101510
101511	101511
101512	101512
101513	101513
101514	101514
101515	101515
101516	101516
101517	101517
101518	101518
101519	101519
101520	101520
101521	101521
101522	101522
101523	101523
101524	101524
101525	101525
101526	101526
101527	101527
101528	101528
101529	101529
101530	101530
101531	101531
101532	101532
101533	101533
101534	101534
101535	101535
101536	101536
101537	101537
101538	101538
101539	101539
101540	101540
101541	101541
101542	101542
101543	101543
101544	101544
101545	101545
101546	101546
101547	101547
101548	101548
101549	101549
101550	101550
101551	101551
101552	101552
101553	101553
101554	101554
101555	101555
101556	101556
101557	101557
101558	101558
101559	101559
101560	101560
101561	101561
101562	101562
101563	101563
101564	101564
101565	101565
101566	101566
101567	101567
101568	101568
101569	101569
101570	101570
101571	101571
101572	101572
101573	101573
101574	101574
101575	101575
101576	101576
101577	101577
101578	101578
101579	101579
101580	101580
101581	101581
101582	101582
101583	101583
101584	101584
101585	101585
101586	101586
101587	101587
101588	101588
101589	101589
101590	101590
101591	101591
101592	101592
101593	101593
101594	101594
101595	101595
101596	101596
101597	101597
101598	101598
101599	101599
101600	101600
101601	101601
101602	101602
101603	101603
101604	101604
101605	101605
101606	101606
101607	101607
101608	101608
101609	101609
101610	101610
101611	101611
101612	101612
101613	101613
101614	101614
101615	101615
101616	101616
101617	101617
101618	101618
101619	101619
101620	101620
101621	101621
101622	101622
101623	101623
101624	101624
101625	101625
101626	101626
101627	101627
101628	101628
101629	101629
101630	101630
101631	101631
101632	101632
101633	101633
101634	101634
101635	101635
101636	101636
101637	101637
101638	101638
101639	101639
101640	101640
101641	101641
101642	101642
101644	101644
101645	101645
101646	101646
101647	101647
101648	101648
101649	101649
101650	101650
101651	101651
101652	101652
101653	101653
101654	101654
101656	101656
101658	101658
101659	101659
101660	101660
101661	101661
101662	101662
101663	101663
101664	101664
101665	101665
101666	101666
101667	101667
101668	101668
101669	101669
101670	101670
101671	101671
101672	101672
101673	101673
